Symbol;Entry Date
ADCT;12/21/2022
MDIA;12/21/2022
ATNF;12/20/2022
XCUR;12/20/2022
THTX;12/20/2022
AUVI;12/20/2022
ICCM;12/20/2022
AUVI;12/16/2022
SNPX;12/16/2022
ITRM;12/15/2022
SNTI;12/14/2022
VLON;12/14/2022
IMMX;12/14/2022
MGTA;12/13/2022
NCPL;12/13/2022
APVO;12/12/2022
MRIN;12/9/2022
EXPR;12/8/2022
MYSZ;12/8/2022
EIGR;12/8/2022
DAKT;12/7/2022
BNED;12/6/2022
SXTC;12/5/2022
RIGL;12/2/2022
VAXX;12/1/2022
MYO;11/30/2022
ASPI;11/29/2022
ICAD;11/28/2022
TBLA;11/28/2022
KTRA;11/28/2022
JCSE;11/25/2022
ICU;11/21/2022
PXMD;11/18/2022
NOTV;11/17/2022
ZEV;11/17/2022
QH;11/15/2022
PALI;11/15/2022
STSA;11/14/2022
NUWE;11/14/2022
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
